config,software,version
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/o/OpenBLAS/OpenBLAS-0.3.24-GCC-13.2.0.eb,OpenBLAS,0.3.24
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/o/OpenBLAS/OpenBLAS-0.3.27-GCC-13.3.0.eb,OpenBLAS,0.3.27
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/o/OpenMPI/OpenMPI-4.1.5-GCC-12.3.0.eb,OpenMPI,4.1.5
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/o/OpenMPI/OpenMPI-4.1.6-GCC-13.2.0.eb,OpenMPI,4.1.6
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/o/OpenMPI/OpenMPI-5.0.3-GCC-13.3.0.eb,OpenMPI,5.0.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Perl/Perl-5.22.1-intel-2016a-bare.eb,Perl,5.22.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Perl/Perl-5.26.1-GCCcore-6.4.0.eb,Perl,5.26.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Perl/Perl-5.38.2-GCCcore-13.3.0.eb,Perl,5.38.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/PhyML/PhyML-3.3.20190321-foss-2018b.eb,PhyML,3.3.20190321
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/PhyML/PhyML-3.3.20200621-foss-2020b.eb,PhyML,3.3.20200621
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/PhyML/PhyML-3.3.20220408-foss-2023a.eb,PhyML,3.3.20220408
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Pilon/Pilon-1.22-Java-1.8.eb,Pilon,1.22
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/poppunk/poppunk-2.6.0-foss-2022a.eb,poppunk,2.6.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Primer3/Primer3-2.4.0-intel-2018b.eb,Primer3,2.4.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/Primer3/Primer3-2.5.0-GCC-9.3.0.eb,Primer4,2.5.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/PRINSEQ/PRINSEQ-0.20.4-foss-2021b-Perl-5.34.0.eb,PRINSEQ,0.20.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/prodigal/prodigal-2.6.2-GCC-4.9.3-binutils-2.25.eb,prodigal,2.6.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/p/PyMOL/PyMOL-2.5.0-foss-2020b.eb,PyMOL,2.5.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/q/QIIME2/QIIME2-2023.5.1-foss-2022a.eb,QIIME3,2023.5.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/q/QIIME2/QIIME2-2023.7.0-foss-2022a.eb,QIIME4,2023.7.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/q/Qualimap/Qualimap-2.2.1-foss-2021b-R-4.1.2.eb,Qualimap,2.2.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/q/QUAST/QUAST-4.6.3-foss-2018a-Python-3.6.4.eb,QUAST,4.6.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/q/QUAST/QUAST-5.0.2-foss-2021b.eb,QUAST,5.0.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/Racon/Racon-1.4.21-GCCcore-10.3.0.eb,Racon,1.4.21
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/RAxML/RAxML-8.2.11-intel-2018a-hybrid-avx2.eb,RAxML,8.2.11
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/RAxML/RAxML-8.2.9-foss-2016a-hybrid-avx2.eb,RAxML,8.2.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/RAxML-NG/RAxML-NG-1.0.1-gompi-2019b.eb,RAxML-NG,1.0.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/RepeatMasker/RepeatMasker-4.0.8-GCC-6.4.0-2.28-Perl-5.26.0-HMMER.eb,RepeatMasker,4.0.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/Roary/Roary-3.12.0.eb,Roary,3.12.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/Roary/Roary-3.13.0-foss-2022a.eb,Roary,3.13.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/Rosetta/Rosetta-2016.13.58602-foss-2016a.eb,Rosetta,2016.13.58602
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/r/Rosetta/Rosetta-3.7-foss-2016b.eb,Rosetta,3.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/seqtk/seqtk-1.2-foss-2016b.eb,seqkt,1.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/seqtk/seqtk-1.3-GCC-11.3.0.eb,seqkt,1.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/seqtk/seqtk-1.4-GCC-12.3.0.eb,seqkt,1.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/shovill/shovill-1.1.0-gompi-2021b.eb,shovill,1.1.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SKESA/SKESA-2.2-foss-2018a.eb,SKESA,2.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SKESA/SKESA-2.3.0-foss-2018b.eb,SKESA,2.3.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SKESA/SKESA-2.4.0-gompi-2021b_saute.1.3.0_1.eb,SKESA,2.4.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/snippy/snippy-4.4.1-foss-2018b-Perl-5.28.0.eb,snippy,4.4.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/snpEff/snpEff-4.1d-Java-1.7.0_80.eb,snpEff,4.1d
